number,question,A,B,C,D,E,answer_letter,answer_index
17,Aşağıdakilerden hangisi yakın izleme nedeni “Kredi Riskinde Önemli Derecede Artış” olan bir müşteri ile ilgili olarak söylenebilir?,Mevcut kredi riski 800 bin TL olan müşteriye ilave 3 Milyon TL kredi kullandırılmıştır.,Müşterinin memzuç bilgilerinde toplam kredileri bir önceki aya göre %90 ve üzeri oranda artmıştır.,Müşterinin Kurumsal KKB kayıtlarında Ticari Borçluluk Endeksi artmıştır.,Müşterinin önümüzdeki bir yıl içerisinde temerrüde düşme olasılığı kredi tahsis anına göre ciddi düzeyde artmıştır.,Müşterinin Findeks Kredi Notu artmıştır.,D,3
18,"Müşteri işlemlerinin dijital kanallara yönlendirilmesini, yoğunluğun optimum düzeyde yönetilerek verimliliğin artırılmasını amaçlayan OPİ uygulaması ile aşağıdaki işlemlerden hangileri gerçekleştirilebilmektedir?
I. Toplu Döviz Transferi II. Toplu Peşin İthalat Transferi III. Toplu Mal Mukabili İthalat Transferi",Yalnız I,I ve III,II ve III,"I, II ve IV","I, II, III",E,4
19,"7/24 TL para transferi yapılabilen FAST güncel işlem limiti …… TL, “TR Karekod” kullanılarak gerçekleştirilen dinamik ödemelerde güncel işlem limiti …… TL’dir.",25.000 / 100.000,25.000 / 250.000,25.000 / 350.000,100.000 / 250.000,100.000 / 350.000,D,3
20,"Ana firma tanımı ile ilgili hangisi/hangileri doğrudur?
I. Grup firmalarının tamamı turizm firmalarından oluşan gruplarda ana firma son mali yılı cirosu en yüksek olan firma olarak belirlenmelidir. II. Ana Firma tanımı KAR/FAR süreci tamamlandıktan sonra yapılır. III. Tamamı tarım sektöründe faaliyet gösteren gerçek kişi işletmelerden oluşan gruplar için ana firma tanımı yapılmaz. IV. Bir risk grubunun tamamı taahhüt firmalarından oluşuyorsa, ana firma seçimi yapılırken referans limiti en büyük olan dikkate alınır.",Yalnız I,I ve II,"I, III ve IV",III ve IV,"I, II, III ve IV",D,3
21,"I. Bireysel kredi borçlusunun birden fazla kredi hesabına konu borçları birden fazla ihtara konu edilmiş olsa dahi tüm kredi alacakları için tek bir takip açılması esastır. II. İcra takip işlemlerine, tüm teminatlar üzerinden eş zamanlı olarak geçilmesi esas olduğundan bütün teminatların takip sürecine dahil edilmesi sağlanmalıdır. III. Tahsilinde borçlunun kullandığı kredilere mahsup edilmek üzere Bankamıza ciro edilen çekler, alacağın TOA hesaplarına intikali halinde Bankaca da ciro edilmek suretiyle takasa ibraz edilerek tahsil edilmeli, tahsil edilmemesi halinde Kambiyo Senetlerine Özgü Takip başlatılmalıdır. Yasal takip ve tahsil işlemleri ile ilgili yukarıdakilerden hangileri doğrudur?",Yalnız I,I ve II,II ve III,Yalnız III,"I, II ve III",E,4
22,Aşağıdaki finansal rasyolardan hangisi bir firmanın aktifinin ne kadarının yabancı kaynaklar ile finanse edildiğini gösterir?,Cari Oran,Likidite Oranı,Finansman Oranı,Finansal Kaldıraç Oranı,Aktif Karlılığı,D,3
23,Kredi bağlantılı hayat sigortaları ile ilgili aşağıda verilenlerden hangisi yanlıştır?,Tarımsal kredilerde azami sigortalanma yaş sınırı 70’tir.,Hayat sigortaları müşterinin sağlık beyanına istinaden yapılır.,Hayat sigortalarında azami teminat tutarları müşterinin yaşına göre değişmektedir.,KMH hesapları için hayat sigortası zorunludur.,Bireysel kredilerde azami sigortalanma yaş sınırı 75’tir.,D,3
24,"Bir işi başlatmak ve çalışır halde tutmak için gerekli fonlar toplanmalıdır.
Müşterinin gelir elde etme potansiyelinin ölçülerek, faaliyetlerinden elde ettiği gelirin gelecekte göstereceği gelişim ile firmanın aldığı borçları, kendi faaliyetleri ile ödeyip ödeyemeyeceğinin tespiti edilmelidir. Kredilendirmede genel kabul görmüş bazı temel ilkeler vardır. “5K” olarak ifade edilir. Aşağıdakilerden hangisi söz konusu ilkelerin sırasıyla doğru tanımını vermektedir? I – Karşılık II – Kapital III – Kapasite IV – Koşullar",Karşılık – Kapital,Kapital – Kapasite,Kapasite – Koşullar,Karşılık – Kapasite,Kapital – Koşullar,B,1
25,"Yatırım Kredilerinin kullandırımına yönelik aşağıdakilerden hangisi yanlıştır?
I. Anlaşma olmayan firmalarda, kredi müşterinin vadesiz hesabına kullandırılır, 1 hafta bloke edildikten sonra havale/eft şeklinde ilgili firmaya hesaptan aktarılır. II. Yatırımın bitmesi beklenmeden tüm kredi blok kullandırılıp vadesiz hesaba ihtiyat bloku konulur ve sonrasında çözülerek firma hesabına sitüasyon usulü havale/eft yapılır. III. Kredi önce hesaba kullandırılır ve vadesiz mevduat ortalamasını artırmak için hesapta tutulur. IV. Yatırım unsuru girdinin alınıp alınmamasına bakılmaksızın direkt bayi/satıcı hesabına havale/eft yapılır.",Yalnız I,I ve II,II ve III,"II, III ve IV","I, II, III ve IV",E,4
26,"Firmaların Yurt Dışı Kaynaklı Dövizlerinin Türk Lirasına Dönüşümünün Desteklenmesi Hakkındaki Tebliğe ilişkin uygulama talimatı uyarınca aşağıdakilerden hangisi doğrudur?
I. Firmalar yalnızca mal ihracatı veya hizmet karşılığı kazandırdıkları dövizlerin Türk Lirasına çevrilmesinde Döviz Dönüşüm Desteği Priminden yararlanabilmektedir. II. Yurt dışı kaynaklı dövizlerin Türk lirası vadeli mevduat ve katılım hesaplarına dönüştürülmesinde döviz dönüşüm desteği sağlanmaktadır. III. Döviz dönüşüm desteğinden usulsüz olarak yararlanılması veya Merkez Bankasına yanlış beyanda bulunan firmalar 3 yıl süreyle değerlendirmeye alınmaz.",Yalnız I,I ve II,"I, II ve III",I ve III,II ve III,D,3
27,"Başak Model Anında Limit uygulaması ile ilgili aşağıdakilerden hangisi doğrudur?
I. Tek bir buton ile kredibilite değerlendirmesi yapılmaktadır. II. Otomatik düzenlenen nakit akım projeksiyonu üzerinden vadelere göre farklaşan, kullanıma hazır yatırım kredisi limitleri belirlenmektedir. III. Müşterilerin işletme sermayesi ihtiyaçları güncellenmektedir.",I ve II,Yalnız II,I ve III,II ve III,"I, II ve III",E,4
28,"Kesintisiz Vadeli Mevduat ürünü ile ilgili aşağıdakilerden hangisi doğrudur?
I. Hesap TL olarak 32–364 gün arası vadelerde, gerçek ve tüzel kişi müşteriler için açılabilmektedir. II. Anapara bakiyesinin %50’sine kadar olmak üzere istenildiği zaman hesaptan para çekilebilmektedir. III. Tüm para çekme işlemleriyle birlikte hesabın bakiyesi, vade başındaki anapara bakiyesinin %50’sinin altına düşemez. IV. Hesaba istenildiği zaman para yatırma işlemi gerçekleştirilebilmektedir.",I ve II,II ve III,"II, III ve IV",III ve IV,"I, II, III ve IV",B,1
29,"Döviz geliri olmayan Türkiye’de yerleşik kişiler yurt içinden ve yurt dışından döviz kredisi kullanamazlar ancak istisnaları mevcuttur.
Aşağıdakilerin hangisinde döviz geliri olması şartı aranmaz? I. Kamu kurum ve kuruluşlarının kullanacakları döviz kredileri II. Bankaların kullanacakları döviz kredileri III. Kullanım tarihindeki mevcut kredi bakiyesi 10 milyon ABD doları veya üzerinde olan Türkiye’de yerleşik kişilere kullandırılacak döviz kredileri IV. Türkiye’de yerleşik finansal kiralama şirketlerinin kullanacakları döviz kredileri",Yalnız I,Yalnız II,"II, III ve IV","I, II ve IV","I, II, III ve IV",D,3
30,"Aşağıdakilerden hangisi “Yeni Müşteri” ile ilgili doğru bir ifadedir?
I. MONO’su ilk kez oluşturulan müşteriler 6 ay süresince yeni müşteri kabul edilir. II. MONO’sunun oluşturulma tarihinden itibaren 6 ay içinde aktifliğini sağlayan müşteriler 2 yıl süresince yeni müşteri kabul edilir. III. Revizyon tarihi üzerinden 2 yıl geçtikten sonra limiti onaylananlar da dahil olmak üzere kurumsal kredi limiti ilk kez onaylanan müşteriler yeni müşteri kabul edilir. IV. Son iki yıl inaktif olup, aktiflik kriterlerini sağlayan müşteriler yeni müşteri kabul edilir. V. Şubeler arası devir olan müşteriler devir onay tarihinden sonra 6 ay süresince yeni müşteri kabul edilir.","I, II, III","I, II, IV","I, II, III ve IV","II, III, IV ve V","I, II, III, IV ve V",C,2
31,"Dinamik İşletme Kredisi ile ilgili olarak aşağıda belirtilen ifadelerden hangisi/hangileri doğrudur?
I. Bankamızca kredilendirilmesinde idari/yasal engel bulunmayan, ticari segmentte izlenen müşterilerimiz yararlanabilmektedir. II. Kredinin azami limiti 5.000.000 TL’dir. III. Kredinin asgari vadesi 24 ay, azami vadesi ise 60 aydır. IV. Ticari Büyük segmentte izlenen aktif müşteriler için faiz oranı %48’dir. V. Diğer ticari segmentlerde izlenen müşterilerde, Bankkart Başak, Üye İşyeri, Nakit Akış Yönetimi, Firma Maaş, Ödeme ve Sigorta kriterlerinden en az 2’si aktifse faiz oranı %48’tir. VI. Kredi faiz oranı %48’den yararlanamayan ticari segment müşterilerine kredi %52 faiz oranıyla kullandırılabilir.","I, II, III","II, III, IV","III, IV","I, II, IV, V, VI","I, II, III, IV, V, VI",E,4
32,"Aşağıdaki işlemlerin hangisinde İhracat Bedeli Kabul Belgesi / Döviz Alım Belgesi zorunluluğu bulunmamaktadır?
I. Serbest bölgelere yapılan ihracat işlemleri II. K.K.T.C’ye yapılan ihracat işlemleri III. Türk Lirası olarak yapılan ihracat işlemleri IV. Türk Silahlı Kuvvetlerini Güçlendirme Vakfı Şirketleri ve Makine ve Kimya Endüstrisi A.Ş. tarafından yapılan ihracat işlemleri V. Hizmet ihracatı, transit ticaret, Türkiye’de ikamet etmeyenlere özel fatura ile yapılan satış, Türkiye’de ikamet etmeyenlere KDV hesaplanarak yapılan satışlar, mikro ihracat ve serbest bölge işlem formu kapsamında gerçekleştirilen 5.000 USD veya karşılığı döviz ya da TL’yi geçmeyen tutardaki ihracat işlemleri","I, II, III","I, IV",IV ve V,"I, II, IV, V","I, II, III, IV, V",C,2
33,Aşağıdaki ülkelerden hangileri ortak para birimi ve yasal ödeme aracı olarak “Euro” kullanmaktadır?,"Avusturya, Letonya, Slovakya","İtalya, Finlandiya, İsviçre","Norveç, Belçika, Portekiz","Fransa, Hırvatistan, Moldova","Almanya, İngiltere, İspanya",A,0
34,"Borsa İstanbul Pay Piyasası takas süreci ile ilgili aşağıdakilerden hangisi yanlıştır?
I. Borsa işlem günü (T+0)’da MKK sisteminde takas amaçlı virman blokaj işlemleri yapılır. II. (T+1)’de takas borçları kapatılır. III. (T+2)’de sözleşme düzeltme işlemleri yapılır.",Yalnız I,I ve II,I ve III,II ve III,"I, II ve III",D,3
35,Kesin Ödeme ürünü ile ilgili aşağıda verilen bilgilerden hangisi yanlıştır?,"Alacaklı, Kesin Ödeme tutarını vadesinden önce erken alma özelliği ile tahsil edebilir.",Kesin Ödeme kredi kullandırımları yalnızca TL cinsinden gerçekleştirilebilir.,Kesin Ödeme ürünü sadece kurumsal ve ticari segment müşterileri tarafından kullanılabilir.,Kesin Ödeme ürünü kredi veya kredisi seçenekleriyle kullanılabilir.,Kesin Ödeme alacaklı tarafından başkalarına devredilebilir.,C,2
36,"Bir işletmeye ait bilgiler:
Stok Devir Süresi: 120 gün Ortalama Ticari Alacaklar: 1.000.000 TL Borç Ödeme Süresi: 130 gün Net Satışlar: 3.650.000 TL Bu bilgilere göre işletmenin Finansman Süresi kaç gündür?",90,100,110,120,130,A,0
37,"Sayım, Saklama ve Kasa işlemleri ile ilgili olarak aşağıdakilerden hangisi/hangileri doğrudur?
I. Arka ofis yönetiminden sorumlu personel OSK’nın doğal üyesidir. II. Şubede OSK’nın arka ofis personelince oluşturulması esastır; arka ofiste görevli personel yetersizse Banko Asistanı ile tamamlanır. III. Kamera görüş açısı dışında para sayımı yapılmaz. IV. Banka lehine ciro edilen senet ve çekler emaneten kasada saklanır.",Yalnız I,I ve III,I ve II,II ve IV,"I, II, III ve IV",E,4
38,"Sır Niteliğindeki Bilgilerin Paylaşılması Hakkında Yönetmelik çerçevesinde aşağıda yer alanlardan hangisi/hangileri doğrudur?
I. Banka ve müşteri sırları görevden ayrıldıktan sonra da gizliliğini korur. II. Bankacılık faaliyetlerine özgü müşteri bilgileri müşteri sırrı niteliğindedir. III. Kanunen yetkili mercilerle paylaşım gizlilik ihlali sayılmaz.",Yalnız I,Yalnız II,I ve III,II ve III,"I, II ve III",E,4
39,X Şubesinin vadeli mevduatının son günü 31.07.2025 olan A müşterisi ile 01.08.2025 olan B müşterisinden kesilen stopajın ödenme tarihi aşağıdakilerden hangisidir?,26 Ağustos 2025 – 26 Ağustos 2025,23 Ağustos 2025 – 23 Ağustos 2025,26 Ağustos 2025 – 26 Eylül 2025,26 Eylül 2025 – 26 Eylül 2025,31 Aralık 2025 – 31 Aralık 2025,C,2
40,"KOSGEB Kapasite Geliştirme Kredisi ve KOSGEB Küresel Rekabetçilik Kredisinin yer aldığı kredi paketi ile ilgili hangisi doğrudur?
I. Asgari kullandırım tutarı sınırlaması yoktur. II. Makine-teçhizat dışındaki gider kalemlerinde harcama belgesi aranmaz. III. Kredi tutarları müşteri hesabına aktarılıp vadeli mevduata dönüştürülür.",Yalnız I,I ve II,II ve III,Yalnız III,"I, II ve III",E,4
41,I. Eurobond II. Ziraat Portföy Borçlanma Araçları Fonu III. Ziraat Portföy Para Piyasası Fonu IV. Bireysel Emeklilik Sistemi (BES) Birikimi V. Gelire Endeksli Devlet İç Borçlanma Senedi Yukarıdakilerden hangisi/hangileri bireysel kredi işlemlerinde teminat olarak alınabilecek nakit veya nakit benzeri değerlerdendir?,Yalnız III,I ve III,"I, II, III ve IV","II, III, IV ve V","I, II, III, IV ve V",E,4
42,"Kişisel veriler, ilgili kişinin açık rızası olmadan işlenemez. Aşağıdakilerden hangisi istisnai haller kapsamında yer almaz?",Bankanın personel özlük dosyasında kimlik bulundurması,Bilinci kapalı kişiye sağlık ekibinin kimlik bilgisi verilmesi,Kefalet ilişkisinde maaş ve varlık bilgilerinin işlenmesi,Borçlu müşteriye ulaşmak için rehberlik hizmeti verisi kullanımı,Kişinin Bankamız araç kiralama indirimi için iletişim bilgilerinin işlenmesi,E,4
43,"“Köyümde Yaşamak İçin Bir Sürü Nedenim Var - Küçükbaş Hayvancılık Projesi” kapsamında kullanılabilecek kredilerle ilgili hangisi doğrudur?
I. Bir üretici proje kapsamında yalnız bir kez kredi kullanabilir. II. Toplam kredi limiti azami 1.200.000 TL’dir. III. Yatırım kredisi azami 84 ay, işletme kredisi azami 48 aydır.",I ve II,Yalnız II,I ve III,Yalnız III,"I, II ve III",E,4
44,"TOBB Nefes Kredisi ile ilgili hangisi yanlıştır?
I. Eczaneler, kooperatifler, faktoring şirketleri yararlanamaz. II. Vade azami 36 aydır. III. Tüm illerde kredi limiti 2,5 milyon TL’dir.",Yalnız I,I ve II,"II, III",Yalnız III,"I, III",D,3
45,Vadeli Döviz Alım Satım İşlemleri ile ilgili aşağıdaki bilgilerden hangisi yanlıştır?,Tüzel ve Gerçek müşterilerle TL ve YP işlemlerde limit tahsisi veya nakit blokajı alınarak işlem yapılabilir.,"Vadeli döviz alım-satım işlemi, kredi limiti kullandırılarak gerçekleştirilen işlemlerde limit tahsisi veya döviz kredisi üzerinden limit blokesi yapılması, nakit blokajı işlemleri ise vadeli veya vadesiz mevduatına bloke konulması suretiyle gerçekleştirilmektedir.",Vadeli döviz alım-satım işlemlerinin gerçekleştirilebilmesi için gerçek kişi ve şahıs firmalarına Sermaye Piyasası araçları kapsamında ürün ya da hizmetin müşteriye uygun olup olmadığının ve müşterilerin söz konusu ürün veya hizmetin taşıdığı riskleri anlayabilecek bilgi ve tecrübeye sahip olup olmadıklarının değerlendirilmesi amacıyla uygunluk testi yapılması gerekmektedir.,Müşterilerimizin vadeli alım-satım hesaplarının pozisyon güncellenmesi sonucunda oluşan zararın kullanabilir kredi limitinden fazla olması durumunda Başkanlığımız tarafından teminat istenebilecektir.,Müşterinin herhangi bir şekilde ödeme güçlüğüne düşmesi veya mevzuatta yer alan idari ve yasal engel hallerinden birisi ile karşılaşılması halinde banka tek taraflı olarak işlemi iptal ederek erken kapama yapabilecektir.,A,0
46,"Mevduat ve katılım fonu sigortası ile ilgili yukarıdakilerden hangisi/hangileri doğrudur?
I. 2025 yılı için sigortaya tabi mevduat ve katılım fonu limiti her bir kredi kuruluşunda her bir kişi için 950.000 Türk Lirası’dır. II. Türkiye’de faaliyet gösteren kredi kuruluşlarının yurt içi şubelerindeki resmi kuruluşlar, kredi kuruluşları ve finansal kuruluşlara ait olanlar haricindeki mevduat ve katılım fonları (tasarruf mevduatı, ticari kuruluşlar mevduatı ve diğer kuruluşlar mevduatı) sigorta kapsamındadır. III. Bir kişinin hem mevduat hem de katılım bankasında bulunan hesaplarına ilişkin sigorta tutarı her bir kredi kuruluşu için ayrı ayrı hesaplanır. IV. Kredi kuruluşları tarafından satışına aracılık edilen devlet tahvili, hazine bonosu, yatırım fonu gibi yatırım araçları ile kripto varlıklar Tasarruf Mevduatı Sigorta Fonu tarafından sigorta edilmemektedir.",Yalnız I,I ve II,II ve III,"II, III ve IV","I, II, III ve IV",E,4
47,"Avantajlı Vadeli Hesap ve Kesintisiz Vadeli Hesap ürünlerinin ortak özellikleri hangileridir?
I. 32–364 gün vade aralığında açılır. II. 100.000–10.000.000 TL arası bakiye ile açılır. III. Vadesiz hesap ve kredi kartı işlemleriyle ilave faiz kazandırır. IV. Vade içinde anaparanın %50’sine kadar para çekilebilir.",Yalnız I,I ve IV,II ve IV,Yalnız II,"I, II ve IV",B,1
48,Aşağıdakilerden hangisi banka içi istihbarat kaynakları arasında yer almaz?,Trafik sicil kayıtları,Ticaret sicil sorgulama ekranı,Ekspertiz raporları,Tapu takyidat sorgulama ekranı,Müşteri görüşme formları,A,0
49,"Firmalara yeniden ihtarname gönderilmesi esasları çerçevesinde, hangi durumlarda yeniden ihtarname gönderilmeyebilir?",İlave kredi kullandırımı yapılması,İhtarname sonrası hesap ekstresi verilmesi,Rehinli mallarda mülkiyet değişikliği olması,İhtarname tarihinden itibaren 6 ay geçmiş olması,İlave teminat alınması,D,3
50,"Faizsiz Sonradan Taksitlendirme uygulaması hangi sektörlerde geçerlidir?
I. Kamu Ödemeleri II. Sağlık III. Eğitim IV. Turizm",I ve II,II ve III,III ve IV,"I, II, III","I, II, III ve IV",D,3
51,"İGE YP İhracat Kredi Paketi ile ilgili aşağıdakilerden hangisi doğrudur?
I. Kredinin azami limiti KOBİ’ler için 30 Milyon TL (karşılığı YP)’dir. II. Kredi faiz oranı USD için %9,50, EUR için %8,50’dir. III. Kefalet başvurusu için başvuru ücreti 6.000 TL’dir.",Yalnız I,I ve II,Yalnız II,I ve III,"I, II ve III",E,4
52,Aşağıdakilerden hangisi banka içi istihbarat kaynakları arasında yer almaz?,Trafik sicil kayıtları,Ticaret sicil sorgulama ekranı,Ekspertiz raporları,Tapu takyidat sorgulama ekranı,Müşteri görüşme formları,A,0
